Day;Hour;Price (Kč/MWh)
08.01.2024;23;2 447,02
08.01.2024;24;2 239,68
09.01.2024;1;2 156,68
09.01.2024;2;2 128,88
09.01.2024;3;2 091,00
09.01.2024;4;2 069,11
09.01.2024;5;2 097,89
09.01.2024;6;2 199,98
09.01.2024;7;2 649,42
09.01.2024;8;3 013,01
09.01.2024;9;3 269,09
09.01.2024;10;2 973,40
09.01.2024;11;2 767,99
09.01.2024;12;2 586,44
09.01.2024;13;2 451,14
09.01.2024;14;2 465,17
09.01.2024;15;2 717,56
09.01.2024;16;2 927,40
09.01.2024;17;3 144,86
09.01.2024;18;3 389,63
09.01.2024;19;3 383,98
09.01.2024;20;3 203,66
09.01.2024;21;2 949,79
09.01.2024;22;2 745,61
09.01.2024;23;2 599,73
09.01.2024;24;2 379,80
10.01.2024;1;2 186,82
10.01.2024;2;2 130,83
10.01.2024;3;2 130,09
10.01.2024;4;2 109,46
10.01.2024;5;2 135,49
10.01.2024;6;2 211,63
10.01.2024;7;2 694,97
10.01.2024;8;3 119,12
10.01.2024;9;3 469,59
10.01.2024;10;3 202,38
10.01.2024;11;2 914,04
10.01.2024;12;2 680,23
10.01.2024;13;2 500,45
10.01.2024;14;2 614,90
10.01.2024;15;2 791,00
10.01.2024;16;3 055,02
10.01.2024;17;3 321,00
10.01.2024;18;3 531,48
10.01.2024;19;3 438,40
10.01.2024;20;3 245,60
10.01.2024;21;2 947,20
10.01.2024;22;2 689,32
10.01.2024;23;2 565,29
10.01.2024;24;2 352,60
11.01.2024;1;2 262,10
11.01.2024;2;2 184,19
11.01.2024;3;2 151,15
11.01.2024;4;2 031,08
11.01.2024;5;2 024,67
11.01.2024;6;2 193,80
11.01.2024;7;2 504,21
11.01.2024;8;2 880,20
11.01.2024;9;3 476,36
11.01.2024;10;3 184,44
11.01.2024;11;2 802,04
11.01.2024;12;2 625,26
11.01.2024;13;2 450,21
11.01.2024;14;2 440,85
11.01.2024;15;2 612,94
11.01.2024;16;2 904,61
11.01.2024;17;3 302,29
11.01.2024;18;3 659,79
11.01.2024;19;3 368,86
11.01.2024;20;3 262,10
11.01.2024;21;2 890,55
11.01.2024;22;2 642,77
11.01.2024;23;2 465,50
11.01.2024;24;2 382,41
12.01.2024;1;2 240,41
12.01.2024;2;2 171,79
12.01.2024;3;2 108,84
12.01.2024;4;2 096,25
12.01.2024;5;2 121,18
12.01.2024;6;2 205,36
12.01.2024;7;2 441,35
12.01.2024;8;2 962,20
12.01.2024;9;3 474,17
12.01.2024;10;3 331,49
12.01.2024;11;3 011,82
12.01.2024;12;2 832,11
12.01.2024;13;2 640,80
12.01.2024;14;2 544,53
12.01.2024;15;2 580,57
12.01.2024;16;2 715,35
12.01.2024;17;2 962,20
12.01.2024;18;3 147,34
12.01.2024;19;3 110,31
12.01.2024;20;2 949,12
12.01.2024;21;2 689,68
12.01.2024;22;2 448,51
12.01.2024;23;2 325,82
12.01.2024;24;2 114,76
13.01.2024;1;2 221,65
13.01.2024;2;2 091,56
13.01.2024;3;2 024,17
13.01.2024;4;1 937,03
13.01.2024;5;1 851,38
13.01.2024;6;1 847,67
13.01.2024;7;1 894,82
13.01.2024;8;2 034,04
13.01.2024;9;2 198,94
13.01.2024;10;2 035,53
13.01.2024;11;1 974,80
13.01.2024;12;1 854,58
13.01.2024;13;1 751,65
13.01.2024;14;1 880,01
