Date,Daily_Average_Price,Hourly_Price
2021-08-03,2459.48,
2021-08-04,2495.46,
2021-08-05,2397.04,
2021-08-06,1826.93,
2021-08-07,1563.1,
2021-08-08,646.16,
2021-08-09,1716.09,
2021-08-10,2304.68,
2021-08-11,2560.6,
2021-08-12,2706.18,
2021-08-13,2450.22,
2021-08-14,1789.49,
2021-08-15,1670.39,
2021-08-16,2120.3,
2021-08-17,1806.25,
2021-08-18,2007.92,
2021-08-19,2336.4,
2021-08-20,2611.21,
2021-08-21,2337.33,
2021-08-22,1998.24,
2021-08-23,2395.33,
2021-08-24,2453.12,
2021-08-25,2209.11,
2021-08-26,2398.07,
2021-08-27,2453.17,
2021-08-28,2205.93,
2021-08-29,2063.78,
2021-08-30,2724.59,
2021-08-31,2798.56,
2021-09-01,2817.39,
2021-09-02,2961.96,
2021-09-03,2757.69,
2021-09-04,2697.39,
2021-09-05,2440.32,
2021-09-06,3184.48,
2021-09-07,3252.3,
2021-09-08,3165.87,
2021-09-09,3307.93,
2021-09-10,3497.26,
2021-09-11,3262.86,
2021-09-12,2654.46,
2021-09-13,3582.44,
2021-09-14,3636.82,
2021-09-15,4259.12,
2021-09-16,4021.31,
2021-09-17,3970.28,
2021-09-18,3345.94,
2021-09-19,2380.34,
2021-09-20,3832.27,
2021-09-21,3804.99,
2021-09-22,3704.28,
2021-09-23,3056.05,
2021-09-24,2770.55,
2021-09-25,3242.0,
2021-09-26,3194.48,
2021-09-27,3644.19,
2021-09-28,3946.17,
2021-09-29,3417.53,
2021-09-30,2975.47,
2021-10-01,2775.79,
2021-10-02,2652.15,
2021-10-03,1074.44,
2021-10-04,4003.62,
2021-10-05,4042.74,
2021-10-06,4681.41,
2021-10-07,6884.01,
2021-10-08,5165.54,
2021-10-09,3506.58,
2021-10-10,3658.37,
2021-10-11,4235.76,
2021-10-12,4308.09,
2021-10-13,4775.72,
2021-10-14,4427.5,
2021-10-15,3191.89,
2021-10-16,3982.91,
2021-10-17,3603.12,
2021-10-18,4828.42,
2021-10-19,3925.17,
2021-10-20,2169.66,
2021-10-21,1904.93,
2021-10-22,2035.35,
2021-10-23,3572.45,
2021-10-24,2550.4,
2021-10-25,4340.66,
2021-10-26,4480.49,
2021-10-27,3697.28,
2021-10-28,3871.89,
2021-10-29,2896.13,
2021-10-30,2162.32,
2021-10-31,1741.34,
2021-11-01,2825.71,
2021-11-02,5219.06,
2021-11-03,4933.71,
2021-11-04,4385.38,
2021-11-05,3992.47,
2021-11-06,1951.58,
2021-11-07,1060.89,
2021-11-08,4479.69,
2021-11-09,4078.82,
2021-11-10,4443.5,
2021-11-11,4785.47,
2021-11-12,4212.46,
2021-11-13,3960.09,
2021-11-14,4128.86,
2021-11-15,5747.96,
2021-11-16,5924.96,
2021-11-17,4391.53,
2021-11-18,3541.36,
2021-11-19,3388.1,
2021-11-20,3400.05,
2021-11-21,3725.57,
2021-11-22,6058.3,
2021-11-23,6118.98,
2021-11-24,6984.07,
2021-11-25,6366.12,
2021-11-26,5245.56,
2021-11-27,5207.35,
2021-11-28,5162.92,
2021-11-29,6827.24,
2021-11-30,4821.11,
2021-12-01,5159.84,
2021-12-02,5145.52,
2021-12-03,4919.65,
2021-12-04,4988.04,
2021-12-05,3998.75,
2021-12-06,6748.15,
2021-12-07,5828.64,
2021-12-08,5615.62,
2021-12-09,7067.97,
2021-12-10,6082.03,
2021-12-11,5938.8,
2021-12-12,4634.48,
2021-12-13,6723.75,
2021-12-14,7598.36,
2021-12-15,7512.27,
2021-12-16,8703.98,
2021-12-17,8499.71,
2021-12-18,6003.3,
2021-12-19,2911.91,
2021-12-20,7918.24,
2021-12-21,10597.91,
2021-12-22,10399.7,
2021-12-23,7378.97,
2021-12-24,4640.43,
2021-12-25,4552.6,
2021-12-26,4025.41,
2021-12-27,3762.18,
2021-12-28,2978.34,
2021-12-29,3883.86,
2021-12-30,2914.12,
2021-12-31,2088.61,
2022-01-01,2052.9,
2022-01-02,1409.69,
2022-01-03,2214.86,
2022-01-04,3809.44,
2022-01-05,3000.45,
2022-01-06,4761.21,
2022-01-07,4119.08,
2022-01-08,4186.4,
2022-01-09,3593.54,
2022-01-10,6371.26,
2022-01-11,6209.97,
2022-01-12,5689.0,
2022-01-13,4375.24,
2022-01-14,4378.78,
2022-01-15,5192.15,
2022-01-16,3277.54,
2022-01-17,4241.17,
2022-01-18,5761.13,
2022-01-19,4663.55,
2022-01-20,3881.35,
2022-01-21,3896.69,
2022-01-22,4278.79,
2022-01-23,4715.51,
2022-01-24,6031.62,
2022-01-25,7277.57,
2022-01-26,5882.83,
2022-01-27,4605.76,
2022-01-28,4825.21,
2022-01-29,3413.63,
2022-01-30,3157.63,
2022-01-31,4889.15,
2022-02-01,4950.84,
2022-02-02,4691.94,
2022-02-03,4676.76,
2022-02-04,4485.93,
2022-02-05,2886.73,
2022-02-06,2305.37,
2022-02-07,4437.9,
2022-02-08,3788.27,
2022-02-09,4380.68,
2022-02-10,4695.16,
2022-02-11,4575.85,
2022-02-12,3562.03,
2022-02-13,2352.89,
2022-02-14,4272.19,
2022-02-15,4370.04,
2022-02-16,3794.12,
2022-02-17,2824.12,
2022-02-18,2901.96,
2022-02-19,2424.01,
2022-02-20,2317.44,
2022-02-21,2579.74,
2022-02-22,3120.31,
2022-02-23,3344.11,
2022-02-24,3185.07,
2022-02-25,3488.38,
2022-02-26,5559.21,
2022-02-27,4498.19,
2022-02-28,5616.28,
2022-03-01,6235.29,
2022-03-02,7209.03,
2022-03-03,8673.13,
2022-03-04,9441.76,
2022-03-05,8863.2,
2022-03-06,8770.43,
2022-03-07,10662.36,
2022-03-08,12497.19,
2022-03-09,11335.07,
2022-03-10,7497.57,
2022-03-11,4646.4,
2022-03-12,3853.03,
2022-03-13,3402.02,
2022-03-14,7005.04,
2022-03-15,7472.86,
2022-03-16,6290.81,
2022-03-17,5877.27,
2022-03-18,5685.88,
2022-03-19,3561.02,
2022-03-20,1952.56,
2022-03-21,5079.05,
2022-03-22,5836.51,
2022-03-23,5814.18,
2022-03-24,5883.32,
2022-03-25,6022.72,
2022-03-26,4671.52,
2022-03-27,4943.64,
2022-03-28,5461.72,
2022-03-29,6123.23,
2022-03-30,6629.32,
2022-03-31,5123.55,
2022-04-01,4024.75,
2022-04-02,4016.42,
2022-04-03,3692.09,
2022-04-04,4301.81,
2022-04-05,4722.16,
2022-04-06,3556.79,
2022-04-07,2403.84,
2022-04-08,3076.66,
2022-04-09,1931.4,
2022-04-10,1943.07,
2022-04-11,5462.98,
2022-04-12,4532.88,
2022-04-13,5440.57,
2022-04-14,5560.66,
2022-04-15,4712.19,
2022-04-16,3652.94,
2022-04-17,2563.75,
2022-04-18,2936.05,
2022-04-19,5416.49,
2022-04-20,5067.95,
2022-04-21,4911.48,
2022-04-22,4959.54,
2022-04-23,2959.29,
2022-04-24,2777.45,
2022-04-25,5457.01,
2022-04-26,5863.21,
2022-04-27,5455.89,
2022-04-28,5645.63,
2022-04-29,5610.55,
2022-04-30,4952.37,
2022-05-01,4791.61,
2022-05-02,5403.28,
2022-05-03,5382.07,
2022-05-04,5713.45,
2022-05-05,5786.64,
2022-05-06,5558.48,
2022-05-07,4968.23,
2022-05-08,4237.88,
2022-05-09,5431.1,
2022-05-10,4911.56,
2022-05-11,4751.98,
2022-05-12,4368.5,
2022-05-13,4804.46,
2022-05-14,4036.89,
2022-05-15,3686.88,
2022-05-16,5305.21,
2022-05-17,5587.5,
2022-05-18,5100.66,
2022-05-19,5205.93,
2022-05-20,5159.73,
2022-05-21,2761.08,
2022-05-22,4094.35,
2022-05-23,4627.37,
2022-05-24,4233.5,
2022-05-25,4717.28,
